mesure,contexte,sql,valeur_sql
Prix m² médian publiable,"annee=2025, type_bien=Appartement, commune=Sète",CASE WHEN COUNT(*) >= 30 THEN MEDIAN(prix_m2) END,3497.46
Écart à l'Hérault %,"annee=2025, type_bien=Appartement, commune=Sète",MEDIAN(prix_m2 commune) / MEDIAN(prix_m2 département) - 1,0.00405482
Rang prix commune,"annee=2025, type_bien=Appartement, commune=Sète","DENSE_RANK() OVER (ORDER BY prix_m2_median DESC), communes publiables",15
Nb ventes,"annee=2025, type_bien=Maison, commune=Sète",COUNT(*),134
Volume d'affaires,"annee=2025, type_bien=Maison, commune=Sète",SUM(valeur_fonciere),7.51957e+07
Prix m² médian,"annee=2025, type_bien=Maison, commune=Sète",MEDIAN(prix_m2),4328.96
Prix m² moyen,"annee=2025, type_bien=Maison, commune=Sète",AVG(prix_m2),4801.39
Prix m² 1er quartile,"annee=2025, type_bien=Maison, commune=Sète","QUANTILE_CONT(prix_m2, 0.25)",3445.68
Prix m² 3e quartile,"annee=2025, type_bien=Maison, commune=Sète","QUANTILE_CONT(prix_m2, 0.75)",5836.59
Valeur médiane,"annee=2025, type_bien=Maison, commune=Sète",MEDIAN(valeur_fonciere),379775
Surface médiane,"annee=2025, type_bien=Maison, commune=Sète",MEDIAN(surface_bati),95
Évolution prix m² %,"annee=2025, type_bien=Maison, commune=Sète",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,-0.00780402
Évolution volume %,"annee=2025, type_bien=Maison, commune=Sète",COUNT(*) / COUNT(*) (N-1) - 1,0.300971
Évolution depuis 2021 %,"annee=2025, type_bien=Maison, commune=Sète",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.0759211
Part des maisons %,"annee=2025, type_bien=Maison, commune=Sète","AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.13176
Prix m² médian publiable,"annee=2025, type_bien=Maison, commune=Sète",CASE WHEN COUNT(*) >= 30 THEN MEDIAN(prix_m2) END,4328.96
Écart à l'Hérault %,"annee=2025, type_bien=Maison, commune=Sète",MEDIAN(prix_m2 commune) / MEDIAN(prix_m2 département) - 1,0.416321
Rang prix commune,"annee=2025, type_bien=Maison, commune=Sète","DENSE_RANK() OVER (ORDER BY prix_m2_median DESC), communes publiables",8
