code_commune,nom_commune,type_bien,nb_ventes_periode,nb_ventes_debut,prix_m2_median_debut,nb_ventes_fin,prix_m2_median_fin,evolution_prix_m2
34291,Saint-Vincent-d'Olargues,Maison,31,6,,5,,
34292,Salasc,Maison,31,6,,6,,
34016,Aumelas,Maison,31,9,,9,,
34170,Montouliers,Maison,31,4,,5,,
34206,Poilhes,Maison,31,5,,5,,
34008,Les Aires,Maison,31,13,,5,,
34322,Valflaunès,Maison,30,6,,7,,
34020,Azillanet,Maison,30,4,,6,,
34235,Rosis,Maison,29,8,,3,,
34252,Saint-Étienne-Estréchoux,Maison,29,5,,4,,
34248,Sainte-Croix-de-Quintillargues,Maison,29,11,,4,,
34222,Puilacher,Maison,28,7,,6,,
34019,Avène,Maison,28,4,,3,,
34160,Mons,Maison,28,4,,3,,
34221,Puéchabon,Maison,28,10,,4,,
34250,Saint-Étienne-d'Albagnan,Maison,27,5,,2,,
34049,Camplong,Maison,27,7,,4,,
34334,Vieussan,Maison,26,3,,7,,
34186,Octon,Maison,26,4,,9,,
34131,Lauret,Maison,26,5,,3,,
34193,Pardailhan,Maison,26,6,,,,
34208,Popian,Maison,26,8,,4,,
34152,Mas-de-Londres,Maison,25,5,,3,,
34060,Causse-de-la-Selle,Maison,25,7,,1,,
34315,Usclas-d'Hérault,Maison,24,3,,8,,
34201,Pierrerue,Maison,24,2,,7,,
34190,Oupia,Maison,24,6,,6,,
34218,Prades-sur-Vernazobre,Maison,24,7,,3,,
34290,Saint-Vincent-de-Barbeyrargues,Maison,24,7,,5,,
34286,Saint-Privat,Maison,23,9,,5,,
34317,La Vacquerie-et-Saint-Martin-de-Castries,Maison,23,4,,3,,
34314,Le Triadou,Maison,23,10,,3,,
34042,Brissac,Maison,22,7,,5,,
34059,La Caunette,Maison,22,5,,4,,
34121,Joncels,Maison,21,8,,4,,
34124,Lacoste,Maison,21,3,,5,,
34280,Saint-Nazaire-de-Pézan,Maison,21,1,,5,,
34026,Beaufort,Maison,21,6,,5,,
34138,Lieuran-Cabrières,Maison,21,4,,4,,
34266,Saint-Jean-de-Cuculles,Maison,21,7,,3,,
34287,Saint-Saturnin-de-Lucian,Maison,21,6,,5,,
34015,Assignan,Maison,21,4,,3,,
34021,Babeau-Bouldoux,Maison,20,6,,1,,
34006,Aigne,Maison,20,6,,2,,
34305,Le Soulié,Maison,20,8,,1,,
34200,Pézènes-les-Mines,Maison,19,5,,4,,
34071,Ceilhes-et-Rocozels,Maison,19,6,,2,,
34105,Fouzilhon,Maison,19,4,,2,,
34234,Roquessels,Maison,19,5,,1,,
34185,Notre-Dame-de-Londres,Maison,18,3,,3,,
34271,Saint-Julien,Maison,17,7,,4,,
34331,Verreries-de-Moussans,Maison,16,7,,,,
34083,Combes,Maison,16,6,,4,,
34102,Fontanès,Maison,16,6,,,,
34055,Castanet-le-Haut,Maison,15,2,,4,,
34167,Montels,Maison,15,2,,4,,
34339,Villespassans,Maison,15,4,,3,,
34262,Saint-Guiraud,Maison,15,3,,4,,
34263,Saint-Hilaire-de-Beauvoir,Maison,15,4,,3,,
34177,Murles,Maison,14,3,,3,,
34277,Saint-Maurice-Navacelles,Maison,14,3,,3,,
34188,Olmet-et-Villecun,Maison,14,3,,3,,
34205,Les Plans,Maison,14,7,,1,,
34118,Guzargues,Maison,14,4,,3,,
